
Aktive Verbindungen

  Proto  Lokale Adresse         Remoteadresse          Status           PID
  TCP    0.0.0.0:135            0.0.0.0:0              ABHÖREN         2132
  TCP    0.0.0.0:445            0.0.0.0:0              ABHÖREN         4
  TCP    0.0.0.0:1688           0.0.0.0:0              ABHÖREN         9112
  TCP    0.0.0.0:1947           0.0.0.0:0              ABHÖREN         7016
  TCP    0.0.0.0:3000           0.0.0.0:0              ABHÖREN         36352
  TCP    0.0.0.0:5040           0.0.0.0:0              ABHÖREN         4668
  TCP    0.0.0.0:5985           0.0.0.0:0              ABHÖREN         4
  TCP    0.0.0.0:6006           0.0.0.0:0              ABHÖREN         5116
  TCP    0.0.0.0:7680           0.0.0.0:0              ABHÖREN         15796
  TCP    0.0.0.0:9310           0.0.0.0:0              ABHÖREN         6716
  TCP    0.0.0.0:47001          0.0.0.0:0              ABHÖREN         4
  TCP    0.0.0.0:49664          0.0.0.0:0              ABHÖREN         1912
  TCP    0.0.0.0:49665          0.0.0.0:0              ABHÖREN         1824
  TCP    0.0.0.0:49666          0.0.0.0:0              ABHÖREN         3048
  TCP    0.0.0.0:49667          0.0.0.0:0              ABHÖREN         4052
  TCP    0.0.0.0:49675          0.0.0.0:0              ABHÖREN         5536
  TCP    0.0.0.0:49676          0.0.0.0:0              ABHÖREN         1912
  TCP    0.0.0.0:49701          0.0.0.0:0              ABHÖREN         1904
  TCP    0.0.0.0:50394          0.0.0.0:0              ABHÖREN         4
  TCP    0.0.0.0:57387          0.0.0.0:0              ABHÖREN         5312
  TCP    0.0.0.0:59869          0.0.0.0:0              ABHÖREN         23720
  TCP    0.0.0.0:63125          0.0.0.0:0              ABHÖREN         4
  TCP    0.0.0.0:64732          0.0.0.0:0              ABHÖREN         42388
  TCP    10.49.213.105:139      0.0.0.0:0              ABHÖREN         4
  TCP    10.49.213.105:7680     10.1.8.253:36328       HERGESTELLT     15796
  TCP    10.49.213.105:7680     10.49.214.101:65031    HERGESTELLT     15796
  TCP    10.49.213.105:7680     10.49.214.155:53208    HERGESTELLT     15796
  TCP    10.49.213.105:7680     10.49.214.243:57400    HERGESTELLT     15796
  TCP    10.49.213.105:7680     10.242.2.18:55107      HERGESTELLT     15796
  TCP    10.49.213.105:49440    172.211.123.249:443    HERGESTELLT     6828
  TCP    10.49.213.105:49736    10.49.210.253:8080     HERGESTELLT     29308
  TCP    10.49.213.105:49749    10.49.210.253:8080     HERGESTELLT     15868
  TCP    10.49.213.105:50400    10.49.210.253:8080     HERGESTELLT     6984
  TCP    10.49.213.105:51013    128.140.0.158:443      HERGESTELLT     41156
  TCP    10.49.213.105:51419    142.250.187.234:443    HERGESTELLT     24396
  TCP    10.49.213.105:51492    10.49.210.253:8080     HERGESTELLT     20252
  TCP    10.49.213.105:53334    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:53619    10.1.254.253:53        WARTEND         0
  TCP    10.49.213.105:53620    216.58.206.74:443      WARTEND         0
  TCP    10.49.213.105:53626    10.49.210.253:8080     HERGESTELLT     6848
  TCP    10.49.213.105:53627    10.49.210.253:8080     HERGESTELLT     32384
  TCP    10.49.213.105:53635    52.107.243.211:443     HERGESTELLT     32384
  TCP    10.49.213.105:54058    10.49.210.253:8080     SCHLIESSEN_WARTEN    42732
  TCP    10.49.213.105:54390    128.140.0.158:443      HERGESTELLT     6760
  TCP    10.49.213.105:54469    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:54472    10.49.210.253:8080     HERGESTELLT     35852
  TCP    10.49.213.105:55019    10.49.210.253:8080     HERGESTELLT     20252
  TCP    10.49.213.105:55070    10.49.210.253:8080     HERGESTELLT     15868
  TCP    10.49.213.105:55072    10.1.8.110:1514        HERGESTELLT     6532
  TCP    10.49.213.105:55190    10.49.210.253:8080     HERGESTELLT     29308
  TCP    10.49.213.105:55603    128.140.0.158:443      HERGESTELLT     41156
  TCP    10.49.213.105:55606    10.1.8.2:445           HERGESTELLT     4
  TCP    10.49.213.105:55614    10.1.8.2:445           HERGESTELLT     4
  TCP    10.49.213.105:55622    192.168.0.21:445       HERGESTELLT     4
  TCP    10.49.213.105:55625    10.49.213.136:7680     HERGESTELLT     15796
  TCP    10.49.213.105:55685    10.1.8.107:445         HERGESTELLT     4
  TCP    10.49.213.105:55688    10.49.210.60:445       HERGESTELLT     4
  TCP    10.49.213.105:55689    10.1.8.31:445          HERGESTELLT     4
  TCP    10.49.213.105:57461    10.49.213.80:7680      HERGESTELLT     15796
  TCP    10.49.213.105:57674    128.140.0.158:443      WARTEND         0
  TCP    10.49.213.105:57706    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:57714    34.54.84.110:443       WARTEND         0
  TCP    10.49.213.105:57781    34.54.84.110:443       WARTEND         0
  TCP    10.49.213.105:58220    142.250.186.65:443     WARTEND         0
  TCP    10.49.213.105:58230    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:58244    104.16.185.241:443     WARTEND         0
  TCP    10.49.213.105:58245    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:58246    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:58780    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:58793    10.49.210.253:8080     HERGESTELLT     2540
  TCP    10.49.213.105:58961    10.49.210.253:8080     HERGESTELLT     18012
  TCP    10.49.213.105:61243    10.49.210.253:8080     HERGESTELLT     20252
  TCP    10.49.213.105:61245    34.54.84.110:443       WARTEND         0
  TCP    10.49.213.105:61506    142.251.141.106:443    HERGESTELLT     24396
  TCP    10.49.213.105:61661    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:61690    142.251.140.170:443    HERGESTELLT     24396
  TCP    10.49.213.105:61887    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:62490    52.107.243.220:443     HERGESTELLT     32384
  TCP    10.49.213.105:63465    10.49.210.253:8080     HERGESTELLT     43188
  TCP    10.49.213.105:63467    10.49.210.253:8080     HERGESTELLT     26784
  TCP    10.49.213.105:63468    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:63469    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:63484    10.49.214.211:7680     SYN_GESENDET    15796
  TCP    10.49.213.105:63670    10.1.8.31:49681        HERGESTELLT     5536
  TCP    10.49.213.105:63721    10.49.213.150:7680     HERGESTELLT     15796
  TCP    10.49.213.105:63979    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:63981    216.239.38.223:443     HERGESTELLT     24396
  TCP    10.49.213.105:63987    216.239.38.223:443     WARTEND         0
  TCP    10.49.213.105:63988    10.49.210.253:8080     HERGESTELLT     32384
  TCP    10.49.213.105:64406    10.1.13.8:7680         HERGESTELLT     15796
  TCP    10.49.213.105:64669    10.49.214.62:7680      HERGESTELLT     15796
  TCP    10.49.213.105:64921    10.49.210.253:8080     HERGESTELLT     6696
  TCP    10.49.213.105:64922    52.107.243.220:443     HERGESTELLT     32384
  TCP    10.49.213.105:65011    10.49.210.253:8080     HERGESTELLT     20252
  TCP    10.49.213.105:65081    10.49.217.66:443       HERGESTELLT     41156
  TCP    10.49.213.105:65122    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:65125    34.54.84.110:443       WARTEND         0
  TCP    10.49.213.105:65134    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:65141    10.49.214.19:7680      SYN_GESENDET    15796
  TCP    10.49.213.105:65142    10.49.213.163:7680     SYN_GESENDET    15796
  TCP    127.0.0.1:4502         0.0.0.0:0              ABHÖREN         24480
  TCP    127.0.0.1:5354         0.0.0.0:0              ABHÖREN         6396
  TCP    127.0.0.1:5354         127.0.0.1:59147        HERGESTELLT     6396
